文件名,路径,大小,类型,扩展名
UIViewController-01J-lp-oVM.nib,Base.lproj/LaunchScreen.storyboardc/UIViewController-01J-lp-oVM.nib,924 B,uncategorized,.nib
PrivacyInfo.xcprivacy,Frameworks/RealmSwift.framework/realm_swift_privacy.bundle/PrivacyInfo.xcprivacy,812 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/Realm.framework/realm_objc_privacy.bundle/PrivacyInfo.xcprivacy,812 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/Kingfisher.framework/Kingfisher.bundle/PrivacyInfo.xcprivacy,707 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/Alamofire.framework/Alamofire.bundle/PrivacyInfo.xcprivacy,600 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/SDWebImage.framework/SDWebImage.bundle/PrivacyInfo.xcprivacy,599 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/FBAEMKit.framework/PrivacyInfo.xcprivacy,551 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/SwiftyJSON.framework/SwiftyJSON.bundle/PrivacyInfo.xcprivacy,373 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/KeychainSwift.framework/KeychainSwift.bundle/PrivacyInfo.xcprivacy,373 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/CryptoSwift.framework/CryptoSwift.bundle/PrivacyInfo.xcprivacy,373 B,uncategorized,.xcprivacy
PrivacyInfo.xcprivacy,Frameworks/SnapKit.framework/SnapKit_Privacy.bundle/PrivacyInfo.xcprivacy,373 B,uncategorized,.xcprivacy
PkgInfo,PkgInfo,8 B,uncategorized,
